Keypoints detector;;Keypoints descriptors;;;;;;;;;;;
SHITOMASI;;BRISK;;BRIEF;;ORB;;FREAK;;AKAZE;;SIFT;
number of keypoints;time in ms;Matched pts;time in ms;Matched pts;time in ms;Matched pts;time in ms;Matched pts;time in ms;Matched pts;time in ms;Matched pts;time in ms
number of keypoints;time in ms;Matched pts;time in ms;Matched pts;time in ms;Matched pts;time in ms;Matched pts;time in ms;Matched pts;time in ms;Matched pts;time in ms
166;242,478;;3,28752;;2,8924;;7,33239;;65,3399;;117,401;;40,4904
157;240,643;137;3,70142;141;3,31623;131;6,19312;126;65,7274;138;112,567;134;52,4264
161;160,442;125;2,42771;134;1,51899;129;7,30775;129;85,4556;138;133,004;134;49,2921
155;157,635;129;3,12617;131;1,37268;127;5,30805;127;77,0915;133;131,195;130;88,4674
163;141,466;129;2,87278;130;1,62445;117;6,72293;121;85,2552;127;158,862;136;66,0216
164;230,659;131;3,27935;134;1,77086;130;10,6533;122;74,9613;129;159,22;137;59,0221
173;148,928;132;3,12447;146;3,49065;131;5,55181;133;71,3775;146;123,805;147;65,6723
173;151,314;124;3,19772;150;5,12285;137;3,83753;144;66,8676;147;172,767;147;57,6655
177;131,699;146;4,12247;148;1,53847;135;11,6327;147;97,1499;151;166,557;154;73,3589
179;146,118;144;3,40917;152;1,80686;145;6,95304;138;75,7142;150;184,941;151;58,9479
SIFT;;BRISK;;BRIEF;;ORB;;FREAK;;AKAZE;;SIFT;
number of keypoints;time in ms;Matched pts;time in ms;Matched pts;time in ms;Matched pts;time in ms;Matched pts;time in ms;Matched pts;time in ms;Matched pts;time in ms
138;204,123;;1,85413;;0,970927;;;;58,3618;;;;139,2
132;197,817;64;1,77102;86;1,04496;;;65;60,4942;;;82;112,105
124;170,42;66;3,32289;78;1,29686;;;72;63,5353;;;81;147,469
137;152,286;62;1,82141;76;1,34435;;;64;57,7555;;;85;128,66
134;181,383;66;2,26986;85;1,50289;;;66;86,2002;;;93;149,766
140;223,49;59;3,10577;69;0,883481;;;59;79,665;;;90;152,237
137;324,673;64;3,15571;74;2,27874;;;59;67,0515;;;81;109,537
148;153,577;64;1,94262;76;1,28777;;;64;68,8745;;;82;107,811
159;276,368;67;3,367431;70;1,5891;;;65;73,2138;;;102;103,347
137;237,395;80;3,42656;88;1,34681;;;79;78,9497;;;104;105,127
